GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59150370,DA,Vancouver,0.11329,1317,658,627,1283,25,630,365
59150371,DA,Vancouver,0.07121,535,205,183,1209,45,180,0
59150372,DA,Vancouver,0.09806,709,299,287,993,40,285,0
59150373,DA,Vancouver,0.11723,719,272,239,1205,65,240,0
59150375,DA,Vancouver,0.0738,474,165,157,1212,35,155,0
59150376,DA,Vancouver,0.06748,465,186,163,1160,30,165,0
59150377,DA,Vancouver,0.06688,503,194,178,1450,55,175,0
59150378,DA,Vancouver,0.05786,862,375,375,1559,5,375,0
59150379,DA,Vancouver,0.07997,578,235,206,1539,40,205,0
59150380,DA,Vancouver,0.0568,591,235,214,1189,20,215,0
59150381,DA,Vancouver,0.07269,638,258,230,1065,35,230,0
59150382,DA,Vancouver,0.06658,583,213,190,1190,40,190,0
59150383,DA,Vancouver,0.06337,538,211,192,1246,50,190,0
59150384,DA,Vancouver,0.05805,468,212,190,1450,15,190,0
59150385,DA,Vancouver,0.06877,512,206,177,1014,20,175,0
59150386,DA,Vancouver,0.11156,586,206,179,1273,35,175,0
59150387,DA,Vancouver,0.06365,482,178,163,1111,25,160,0
59150400,DA,Vancouver,0.09577,711,254,226,1095,20,225,0
59150402,DA,Vancouver,0.17039,702,268,238,1177,65,235,0
59150412,DA,Vancouver,0.05905,448,170,155,873,15,155,0
59150414,DA,Vancouver,0.07107,649,230,207,961,30,205,0
59150416,DA,Vancouver,0.08933,663,243,230,1320,90,230,0
59150417,DA,Vancouver,0.07101,484,184,173,1417,55,175,0
59150419,DA,Vancouver,0.09145,447,183,168,1219,70,170,0
59150534,DA,Vancouver,0.09841,535,227,188,1512,50,190,0
59150535,DA,Vancouver,0.09307,599,245,215,1436,45,215,0
59150536,DA,Vancouver,0.04993,516,279,274,604,15,275,140
59150537,DA,Vancouver,0.08801,586,230,207,1526,80,205,0
59150538,DA,Vancouver,0.07967,186,121,110,866,10,110,0
59150539,DA,Vancouver,0.09378,483,207,185,1077,65,185,0
59150540,DA,Vancouver,0.12237,572,269,214,1906,85,210,0
59150542,DA,Vancouver,0.09765,456,200,193,1294,70,195,0
59150543,DA,Vancouver,0.23385,515,173,148,1902,105,150,0
59150545,DA,Vancouver,0.45708,660,211,203,1552,105,200,0
59150565,DA,Vancouver,0.11539,541,249,233,1836,65,235,100
59150566,DA,Vancouver,0.04804,536,357,324,1635,0,325,240
59150567,DA,Vancouver,0.04279,567,332,320,1579,5,320,165
59150568,DA,Vancouver,0.04691,576,343,323,1486,10,325,190
59150569,DA,Vancouver,0.0662,842,511,481,1461,0,480,265
59150571,DA,Vancouver,0.30982,566,215,194,1800,155,195,0
59150572,DA,Vancouver,0.13282,341,133,117,0,85,115,0
59150573,DA,Vancouver,0.06015,1430,679,635,1974,0,635,255
59150575,DA,Vancouver,0.22535,695,232,201,1408,50,200,0
59150577,DA,Vancouver,0.20779,819,387,376,0,0,375,190
59150578,DA,Vancouver,0.23211,463,184,152,0,120,150,0
